time, Quad.IMU.AX
1.535016,-0.880003
1.540016,-0.020058
1.545016,-0.219282
1.550016,0.336437
1.555017,0.166728
1.560017,0.505999
1.565017,0.631133
1.570017,0.367007
1.575018,-0.913284
1.580018,-0.205239
1.585018,-0.652144
1.590018,-0.054579
1.595019,-0.161029
1.600019,-0.767137
1.605019,0.022356
1.610019,0.025121
1.615019,0.122039
1.620020,-1.075117
1.625020,-0.128204
1.630020,-0.442173
1.635020,0.640703
1.640021,0.450867
1.645021,-0.246484
1.650021,-0.566832
1.655021,-0.208332
1.660022,0.189025
1.665022,0.430058
1.670022,0.713775
1.675022,0.652770
1.680022,0.704683
1.685023,0.488238
1.690023,0.647816
1.695023,-0.010358
1.700023,0.049515
1.705024,-0.680696
1.710024,0.201680
1.715024,-0.127845
1.720024,-0.851358
1.725025,-0.158340
1.730025,-0.763864
1.735025,0.028904
1.740025,-0.067039
1.745026,0.307907
1.750026,0.074434
1.755026,-0.403295
1.760026,0.155804
1.765026,-0.076814
1.770027,0.226251
1.775027,-0.704887
1.780027,0.006929
1.785027,0.164524
1.790028,0.263561
1.795028,-0.209235
1.800028,0.459419
1.805028,-0.554199
1.810029,0.043570
1.815029,0.348697
1.820029,0.550164
1.825029,-0.366819
1.830029,0.109934
1.835030,-0.362596
1.840030,-0.541086
1.845030,0.507014
1.850030,0.314966
1.855031,-0.178143
1.860031,-0.760845
1.865031,-0.259735
1.870031,0.554741
1.875032,0.381269
1.880032,0.096947
1.885032,-0.201531
1.890032,-0.812452
1.895033,0.101698
1.900033,-0.144676
1.905033,-1.174088
1.910033,0.417056
1.915033,0.102058
1.920034,-0.587692
1.925034,0.113855
1.930034,0.636021
1.935034,-0.049546
1.940035,0.225622
1.945035,-0.026653
1.950035,0.444984
1.955035,-0.062468
1.960036,-0.382323
1.965036,-0.561073
1.970036,0.568288
1.975036,-0.365667
1.980036,-0.181045
1.985037,0.438783
1.990037,-0.272870
1.995037,0.456664
2.000037,0.243234
2.005037,-0.359703
2.010037,0.409289
2.015036,0.258638
2.020036,0.269412
2.025036,0.265684
2.030035,-0.321692
2.035035,0.649664
2.040035,0.415762
2.045034,-0.438565
2.050034,0.107007
2.055033,0.867660
2.060033,-0.174577
2.065033,-0.298597
2.070032,0.022233
2.075032,-0.234579
2.080032,-0.365717
2.085031,0.620680
2.090031,0.125303
2.095031,-0.523844
2.100030,0.343455
2.105030,-0.119781
2.110029,0.935978
2.115029,-0.670727
2.120029,-0.259530
2.125028,0.025466
2.130028,0.771081
2.135028,-0.311743
2.140027,-1.864946
2.145027,0.330399
2.150027,-0.223782
2.155026,0.160926
2.160026,0.503654
2.165025,-0.304597
2.170025,-0.701662
2.175025,-0.444954
2.180024,0.164716
2.185024,0.440487
2.190024,-0.093971
2.195023,0.270477
2.200023,-0.576942
2.205023,0.033507
2.210022,0.671422
2.215022,1.210838
2.220021,-0.323939
2.225021,-0.637028
2.230021,0.339653
2.235020,-0.047539
2.240020,-0.048195
2.245020,-0.581473
2.250019,-0.720258
2.255019,-0.964722
2.260019,-1.363031
2.265018,-0.199470
2.270018,0.180193
2.275017,0.310648
2.280017,0.749233
2.285017,-0.235699
2.290016,0.056826
2.295016,-0.714507
2.300016,0.914643
2.305015,0.066351
2.310015,0.794476
2.315015,0.370236
2.320014,1.004063
2.325014,0.188000
2.330014,-0.069449
2.335013,-0.148166
2.340013,-0.491635
2.345012,0.130631
2.350012,0.709240
2.355012,-0.411146
2.360011,0.271488
